Title:,"Time Series, Area-Averaged of Daily mean precipitation rate (combined microwave-IR) estimate - Final Run (daily)"
User Start Date:,2020-01-01T00:00:00Z
User End Date:,2025-09-01T23:59:59Z
User Bounding Box:,"36.6,-1.6,37.2,-1"
Data Bounding Box:,"36.65,-1.55,37.15,-1.05"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2020-01-01T00:00:00Z&endtime=2025-09-01T23:59:59Z&bbox=36.6,-1.6,37.2,-1&data=GPM_3IMERGDF_07_precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGDF_07_precipitation):, -9999.9

time, mean_GPM_3IMERGDF_07_precipitation
2020-01-01,0.174444705
2020-01-02,0.841417193
2020-01-03,2.46965241
2020-01-04,3.53338456
2020-01-05,1.55702531
2020-01-06,3.65622473
2020-01-07,7.97028494
2020-01-08,5.29091883
2020-01-09,1.16477072
2020-01-10,0.852922499
2020-01-11,2.77770329
2020-01-12,9.82438469
2020-01-13,41.9608574
2020-01-14,3.48118782
2020-01-15,2.09962845
2020-01-16,0.866416752
2020-01-17,1.50527859
2020-01-18,3.80745864
2020-01-19,0.9660905
2020-01-20,0.69584769
2020-01-21,1.05643296
2020-01-22,6.0050292
2020-01-23,5.71410084
2020-01-24,2.74462223
2020-01-25,4.57849789
2020-01-26,20.5586452
2020-01-27,1.62625253
2020-01-28,6.76655626
2020-01-29,3.06798553
2020-01-30,5.55831289
2020-01-31,19.1273651
2020-02-01,28.4461498
2020-02-02,8.17141151
2020-02-03,2.32532883
2020-02-04,0.559754372
2020-02-05,1.11794257
2020-02-06,0.844747543
2020-02-07,0.403205574
2020-02-08,0.301395148
2020-02-09,0.152916029
2020-02-10,0.308620751
2020-02-11,0.188479066
2020-02-12,0.451676846
2020-02-13,0.0786118954
2020-02-14,0.1048645
2020-02-15,0.434030145
2020-02-16,1.12082434
2020-02-17,0.372223228
2020-02-18,0.387233347
2020-02-19,0.203474939
2020-02-20,0.668343604
2020-02-21,0.565141201
2020-02-22,0.528885126
2020-02-23,0.31709069
2020-02-24,0.464178681
2020-02-25,2.89407063
2020-02-26,9.59667492
2020-02-27,13.470624
2020-02-28,0.758900762
2020-02-29,1.66041017
2020-03-01,36.5198555
2020-03-02,15.9396391
2020-03-03,1.6676445
2020-03-04,9.76054955
2020-03-05,12.4163933
2020-03-06,6.84387493
2020-03-07,18.1746216
2020-03-08,5.85342264
2020-03-09,2.60070682
2020-03-10,1.88125515
2020-03-11,0.381545424
2020-03-12,0.445279479
2020-03-13,0.702794313
2020-03-14,0.364592791
2020-03-15,0.615289509
2020-03-16,1.24335897
2020-03-17,1.50349653
2020-03-18,0.219176441
2020-03-19,5.37869358
2020-03-20,1.1121186
2020-03-21,0.264013022
2020-03-22,0.746263623
2020-03-23,0.649863064
2020-03-24,0.900800824
2020-03-25,2.9049468
2020-03-26,40.2342148
2020-03-27,10.4305601
2020-03-28,18.8230228
2020-03-29,16.115736
2020-03-30,2.50620031
2020-03-31,0.993344486
2020-04-01,0.850434959
2020-04-02,2.39432073
2020-04-03,0.998211503
2020-04-04,0.784729481
2020-04-05,1.8039515
2020-04-06,1.24418843
2020-04-07,2.31687665
2020-04-08,0.518487096
2020-04-09,0.572783172
2020-04-10,0.342925221
2020-04-11,0.540139377
2020-04-12,1.13751149
2020-04-13,3.04701161
2020-04-14,10.0257626
2020-04-15,16.8861542
2020-04-16,11.173295
2020-04-17,5.79162407
2020-04-18,24.5725765
2020-04-19,10.2493124
2020-04-20,29.4958534
2020-04-21,38.3624191
2020-04-22,34.63451
2020-04-23,22.9002762
2020-04-24,30.8593826
2020-04-25,38.3190689
2020-04-26,19.7554474
2020-04-27,1.03544617
2020-04-28,3.4583621
2020-04-29,0.647084951
2020-04-30,3.40998077
2020-05-01,0.241118297
2020-05-02,0.703466475
2020-05-03,1.208377
2020-05-04,1.34589076
2020-05-05,1.52631915
2020-05-06,18.9337864
2020-05-07,0.777670562
2020-05-08,0.592079341
2020-05-09,0.440560162
2020-05-10,3.4667511
2020-05-11,1.34792066
2020-05-12,2.2637918
2020-05-13,2.64967418
2020-05-14,1.7096442
2020-05-15,5.59880304
2020-05-16,13.3549461
2020-05-17,0.619306386
2020-05-18,0.24041976
2020-05-19,0.170001745
2020-05-20,1.50001037
2020-05-21,0.812390149
2020-05-22,1.24613047
2020-05-23,0.849469662
2020-05-24,0.193336755
2020-05-25,0.498898983
2020-05-26,0.135420814
2020-05-27,0.754600763
2020-05-28,0.44432804
2020-05-29,0.177776352
2020-05-30,0.182367086
2020-05-31,0.0604178831
2020-06-01,0.508488238
2020-06-02,0.356813967
2020-06-03,0.790297925
2020-06-04,1.61585021
2020-06-05,4.43941164
2020-06-06,0.548206508
2020-06-07,0.402239084
2020-06-08,0.409745187
2020-06-09,0.642075241
2020-06-10,1.12904453
2020-06-11,4.31084871
2020-06-12,26.2239685
2020-06-13,18.2129116
2020-06-14,1.59152031
2020-06-15,0.8953107
2020-06-16,2.11947608
2020-06-17,1.49127758
2020-06-18,1.20960903
2020-06-19,1.13350332
2020-06-20,3.94242167
2020-06-21,2.00421286
2020-06-22,3.11972284
2020-06-23,3.54254675
2020-06-24,2.03897786
2020-06-25,1.45434344
2020-06-26,0.806963503
2020-06-27,0.300140947
2020-06-28,0.180828437
2020-06-29,0.142779559
2020-06-30,0.251942754
2020-07-01,0.152503639
2020-07-02,0.30806756
2020-07-03,1.77834415
2020-07-04,0.313624978
2020-07-05,0.736695766
2020-07-06,0.190138727
2020-07-07,0.613060594
2020-07-08,0.574177623
2020-07-09,0.310708195
2020-07-10,0.14181301
2020-07-11,0.7166996
2020-07-12,1.1412878
2020-07-13,0.261819094
2020-07-14,0.495693445
2020-07-15,0.444169998
2020-07-16,0.625298202
2020-07-17,2.30179262
2020-07-18,1.23808777
2020-07-19,2.35511065
2020-07-20,0.232225627
2020-07-21,0.412649721
2020-07-22,0.303061485
2020-07-23,0.365839005
2020-07-24,0.282787263
2020-07-25,0.507509053
2020-07-26,0.138198957
2020-07-27,0.163896486
2020-07-28,0.217782959
2020-07-29,0.138889521
2020-07-30,0.625014901
2020-07-31,0.248336017
2020-08-01,0.0620858669
2020-08-02,0.0599998049
2020-08-03,0.0247225761
2020-08-04,0.451415658
2020-08-05,0.27459079
2020-08-06,0.463481486
2020-08-07,4.17335224
2020-08-08,0.596398294
2020-08-09,0.198755324
2020-08-10,0.276399016
2020-08-11,5.25367928
2020-08-12,0.0401396714
2020-08-13,0.0800016671
2020-08-14,0.709491134
2020-08-15,2.83495402
2020-08-16,0.434314311
2020-08-17,0.229036465
2020-08-18,0.300559521
2020-08-19,0.156396538
2020-08-20,0.246254176
2020-08-21,0.0238885917
2020-08-22,0.135695234
2020-08-23,0.397786379
2020-08-24,0.0945855826
2020-08-25,0.284591675
2020-08-26,0
2020-08-27,0.14361079
2020-08-28,0.391955793
2020-08-29,1.17210257
2020-08-30,0.357922524
2020-08-31,0.407365292
2020-09-01,0.495571792
2020-09-02,0.0888900459
2020-09-03,0.341539413
2020-09-04,5.91618824
2020-09-05,13.6464872
2020-09-06,0.751021922
2020-09-07,2.95782185
2020-09-08,0.114442937
2020-09-09,0.785577774
2020-09-10,0.583079219
2020-09-11,0.181528896
2020-09-12,0.416538239
2020-09-13,0.473475397
2020-09-14,0.285011828
2020-09-15,0.176668182
2020-09-16,0.318619311
2020-09-17,1.34841669
2020-09-18,0.119304344
2020-09-19,0.0230559316
2020-09-20,0.221399486
2020-09-21,0.505566716
2020-09-22,0.453049988
